order_id,customer_id,order_date,product_id,product_category,quantity,price_per_unit,total_amount
O00001,C0118,2022-02-27,P112,Fashion,19.0,138.52,2631.88
O00002,C0086,2022-03-25,P118,Home,10.0,1394.25,13942.5
O00003,C0088,2022-09-11,P097,Home,19.0,1389.36,26397.84
O00004,C0132,2022-04-13,P010,,,,3641.94
O00005,C0157,2023-03-28,P046,Toys,4.0,955.78,3823.12
O00006,C0193,2022-01-16,P002,Fashion,13.0,447.59,5818.67
O00007,C0195,2022-12-09,P094,Electronics,2.0,1138.39,2276.78
O00008,C0018,2023-02-13,P001,Books,18.0,19.03,342.54
O00009,C0197,2022-06-03,P029,Fashion,2.0,1432.87,2865.74
O00010,C0038,2023-04-23,P088,Fashion,11.0,672.69,7399.59
O00011,C0058,2022-05-09,P030,Electronics,10.0,984.42,9844.2
O00012,C0096,2022-07-30,P007,Books,17.0,874.51,14866.67
O00013,C0028,2022-09-17,P031,Toys,8.0,890.16,7121.28
O00014,C0021,2023-10-18,P027,Electronics,8.0,59.86,478.88
O00015,C0014,2023-11-21,P017,,,,3722.72
O00016,C0078,2022-04-17,P093,Fashion,8.0,1245.89,9967.12
O00017,C0171,2023-08-12,P022,Fashion,2.0,1293.2,2586.4
O00018,C0111,2022-08-17,P037,Toys,9.0,1141.37,10272.33
O00019,C0034,2023-06-17,P121,Toys,18.0,587.99,10583.82
O00020,C0037,2022-02-26,P079,Fashion,19.0,82.75,1572.25
O00021,C0036,2022-05-10,P049,Groceries,2.0,1106.93,2213.86
O00022,C0155,2023-01-05,P074,Home,8.0,384.44,3075.52
O00023,C0190,2023-01-23,P012,Groceries,12.0,1196.89,14362.68
O00024,C0170,2023-02-03,P053,Electronics,7.0,459.13,3213.91
O00025,C0152,2022-02-20,P117,Electronics,20.0,1489.24,29784.8
O00026,C0189,2022-12-02,P014,Fashion,16.0,176.74,2827.84
O00027,C0093,2022-08-30,P075,Fashion,7.0,1336.98,9358.86
O00028,C0025,2022-01-08,P015,Books,9.0,69.77,627.93
O00029,C0028,2022-11-17,P067,Toys,9.0,270.34,2433.06
O00030,C0089,2023-04-02,P027,,,,269.82
O00031,C0159,2023-01-02,P124,Home,20.0,1196.49,23929.8
O00032,C0096,2023-03-11,P057,,,,553.04
O00033,C0089,2023-12-24,P066,Electronics,17.0,801.7,13628.9
O00034,C0115,2023-08-03,P038,,,,27422.89
O00035,C0106,2022-10-16,P031,Electronics,6.0,372.62,2235.72
O00036,C0150,2022-10-11,P004,,,,1572.12
O00037,C0110,2022-02-15,P039,Toys,7.0,625.27,4376.89
O00038,C0164,2023-04-08,P069,Electronics,20.0,1373.53,27470.6
O00039,C0135,2022-02-09,P021,Fashion,2.0,241.87,483.74
O00040,C0059,2022-12-26,P071,,,,2520.96
O00041,C0157,2023-11-11,P059,Home,6.0,1331.46,7988.76
O00042,C0038,2022-07-06,P071,Groceries,6.0,335.07,2010.42
O00043,C0044,2023-05-09,P111,Fashion,18.0,622.85,11211.3
O00044,C0074,2023-01-22,P107,Electronics,15.0,1083.67,16255.05
O00045,C0161,2023-07-28,P119,Electronics,4.0,134.32,537.28
O00046,C0144,2022-07-21,P028,Fashion,17.0,534.67,9089.39
O00047,C0109,2023-09-24,P109,Home,9.0,110.05,990.45
O00048,C0041,2023-01-07,P006,Books,20.0,575.0,11500.0
O00049,C0148,2023-06-03,P050,Books,6.0,1192.9,7157.4
O00050,C0022,2023-07-15,P062,Fashion,4.0,1051.03,4204.12
O00051,C0185,2022-04-28,P023,Fashion,17.0,1354.72,23030.24
O00052,C0175,2023-07-27,P099,Fashion,1.0,907.45,907.45
O00053,C0162,2022-12-26,P126,Groceries,18.0,359.3,6467.4
O00054,C0135,2022-07-24,P121,Toys,19.0,1486.39,28241.41
O00055,C0002,2022-11-14,P094,Home,16.0,437.08,6993.28
O00056,C0139,2023-09-23,P062,Toys,10.0,1028.07,10280.7
O00057,C0107,2023-07-25,P115,Books,16.0,541.78,8668.48
O00058,C0192,2023-06-20,P101,Toys,3.0,736.56,2209.68
O00059,C0102,2022-08-24,P058,Toys,16.0,1218.28,19492.48
O00060,C0018,2023-01-14,P017,Toys,19.0,587.21,11156.99
O00061,C0016,2022-08-25,P067,Groceries,14.0,1303.72,18252.08
O00062,C0036,2022-09-24,P086,Electronics,5.0,751.98,3759.9
O00063,C0064,2022-08-02,P119,Groceries,19.0,424.07,8057.33
O00064,C0200,2023-09-04,P111,Home,12.0,1267.82,15213.84
O00065,C0137,2022-07-15,P101,Books,4.0,633.93,2535.72
O00066,C0024,2022-10-14,P034,Toys,20.0,159.16,3183.2
O00067,C0162,2023-04-06,P102,Fashion,5.0,422.3,2111.5
O00068,C0155,2023-01-25,P127,Toys,2.0,621.61,1243.22
O00069,C0067,2023-12-10,P023,Electronics,2.0,1283.72,2567.44
O00070,C0080,2023-10-03,P040,Books,15.0,987.14,14807.1
O00071,C0095,2022-12-11,P107,Electronics,5.0,1108.73,5543.65
